title,title_link,author,publisher,publication_date,#pages,reading_age,average_rating,sales_rank
"This I Believe Ii: More Personal Philosophies Of Remarkable Men And Women (This I Believe, 2)",https://www.amazon.com/This-I-Believe-II-audiobook/dp/B001H44FLI/ref=sr_1_1?crid=1XGAE6YU9ADQP&keywords=This+I+Believe+II_Dan+Gediman&qid=1682027434&s=audible&sprefix=this+i+believe+ii_dan+gediman%2Caudible%2C543&sr=1-1,Jay Allison,Holt Paperbacks; 1st edition,"July 21, 2009",288.0,,1.0,12121
Fire Shut Up In My Bones,https://www.amazon.com/Fire-Shut-Up-My-Bones/dp/0544570111/ref=sr_1_1?keywords=Fire+Shut+Up+in+My+Bones+by+Charles+M.+Blow&qid=1696960505&sr=8-1,Charles M. Blow,Mariner Books; Reprint edition,"September 1, 2015",240.0,,3.5,37499
Disney'S The Lion King (Disney Classic Series),https://www.amazon.com/Disneys-Lion-King-Disney-Classic/dp/1570820872/ref=sr_1_1?keywords=Lion+King+by+Don+Ferguson&qid=1697044024&sr=8-1,Don Ferguson,Mouse Works; Oversized Edition,"June 1, 1994",96.0,6,4.8,24248
In The Shadow Of The Banyan: A Novel,https://www.amazon.com/Shadow-Banyan-Novel-Vaddey-Ratner/dp/1451657714/ref=sr_1_1?keywords=In+The+Shadow+Of+The+Banyan+by+Vaddey+Ratner&qid=1697043593&sr=8-1,Vaddey Ratner,Simon & Schuster,"June 4, 2013",352.0,,3.3,21116
Shipwreck At The Bottom Of The World: The Extraordinary True Story Of Shackleton And The Endurance,https://www.amazon.com/Shipwreck-Bottom-World-Extraordinary-Shackleton/dp/0375810498/ref=sr_1_1?keywords=Shipwreck+at+the+Bottom+of+the+World+by+Jennifer+Armstrong&qid=1697039664&sr=8-1,Jennifer Armstrong,Knopf Books for Young Readers; Illustrated edition,"Illustrated, September 12, 2000",144.0,9,2.8,87797
"Eighth Grade Bites (Chronicles Of Vladimir Tod, Book 1)",https://www.amazon.com/Eighth-Grade-Bites-Chronicles-Vladimir/dp/0142411876/ref=sr_1_1?keywords=Eighth+Grade+Bites+by+Heather+Brewer&qid=1697008721&sr=8-1,Heather Brewer,Speak; Reprint edition,"January 1, 2008",182.0,12,3.1,14754
Finding Winnie (2015) (Korea Edition),https://www.amazon.com/Finding-Winnie-Story-Worlds-Famous/dp/0316324906/ref=sr_1_1?keywords=Finding+Winnie+by+Lindsay+Mattick&qid=1697032049&sr=8-1,Icewil,,,0.0,4,3.6,40411
In Search Of The Promised Land: A Slave Family In The Old South (New Narratives In American History),https://www.amazon.com/Search-Promised-Land-Narratives-American/dp/0195160886/ref=sr_1_1?crid=1ELMGPRF6O8LL&keywords=in+search+of+the+promised+land+john+hope+franklin&qid=1682062089&s=instant-video&sprefix=in+search+of+the+promised+land_j%2Cinstant-video%2C683&sr=1-1,John Hope Franklin,Oxford University Press; 1st edition,"February 23, 2006",286.0,,4.8,63525
The Nanny Diaries: A Novel,https://www.amazon.com/Nanny-Diaries-Novel-Emma-McLaughlin/dp/0312291639/ref=sr_1_1?crid=3GWJAMKP1RN71&keywords=the+nanny+diaries+nicola+kraus&qid=1682877731&s=books&sprefix=the+nanny+diaries_nicola+kraus%2Cstripbooks-intl-ship%2C555&sr=1-1,Emma Mclaughlin,St. Martin's Griffin; First Edition,"Illustrated, March 1, 2003",320.0,,2.6,40844
Everything In Its Path: Destruction Of Community In The Buffalo Creek Flood,https://www.amazon.com/Everything-Its-Path-Destruction-Community/dp/0671240676/ref=sr_1_1?keywords=Everything+in+Its+Path+by+Kai+T.+Erikson&qid=1696984457&sr=8-1,Kai T. Erikson,Simon & Schuster; 57012th edition,"April 15, 1978",304.0,,2.5,59855
"For Love Of Country: What Our Veterans Can Teach Us About Citizenship, Heroism, And Sacrifice",https://www.amazon.com/Love-Country-Veterans-Citizenship-Sacrifice/dp/1101874457/ref=sr_1_1?crid=2VFZSGU2GWMCG&keywords=for+love+of+country+howard+schultz&qid=1682078441&s=instant-video&sprefix=for+love+of+country_howar%2Cinstant-video%2C539&sr=1-1,Howard Schultz,Vintage; Illustrated edition,"Illustrated, October 27, 2015",224.0,,5.0,19454
The Beggar Maid: Stories Of Flo And Rose,https://www.amazon.com/Beggar-Maid-Stories-Flo-Rose/dp/0679732713/ref=sr_1_1?keywords=The+Beggar+Maid+by+Alice+Munro&qid=1696989945&sr=8-1,Alice Munro,Vintage; Reissue edition,"May 7, 1991",210.0,,3.0,70108
The Seat Of The Soul: 25Th Anniversary Edition With A Study Guide,https://www.amazon.com/Seat-Soul-Anniversary-Study-Guide/dp/147675540X/ref=sr_1_1?keywords=The+Seat+of+the+Soul+by+Gary+Zukav&qid=1697008525&sr=8-1,Gary Zukav,Simon & Schuster; Anniversary edition,"Special Edition, March 11, 2014",384.0,,4.9,63800
Agamemnon,https://www.amazon.com/Agamemnon-Aeschylus/dp/1502375494/ref=sr_1_3?keywords=Agamemnon+by+Aeschylus&qid=1696999446&sr=8-3,Aeschylus,CreateSpace Independent Publishing Platform,"September 15, 2014",74.0,,1.1,77064
Deathwatch - Teacher Guide By Novel Units,https://www.amazon.com/Deathwatch-Teacher-Guide-Novel-Units/dp/1561371408/ref=sr_1_1?keywords=Deathwatch+by+Robb+White&qid=1697002867&sr=8-1,Novel Units,"Novel Units, Inc.","July 15, 2019",32.0,,3.1,38893
"Peter Nimble And His Fantastic Eyes (Peter Nimble Adventure, 1)",https://www.amazon.com/Peter-Nimble-Fantastic-Eyes-Adventure/dp/1419704214/ref=sr_1_1?keywords=Peter+Nimble+and+His+Fantastic+Eyes+by+Jonathan+Auxier&qid=1696985648&sr=8-1,Jonathan Auxier,Amulet Paperbacks; Reprint edition,"Illustrated, November 1, 2012",400.0,8,2.1,91148
Above Us Only Sky: A Novel,https://www.amazon.com/Above-Us-Only-Sky-Novel/dp/1451657676/ref=sr_1_1?keywords=Above+Us+Only+Sky+by+Michele+Young-Stone&qid=1697027207&sr=8-1,Michele Young-Stone,Simon & Schuster; Reprint edition,"March 29, 2016",272.0,,1.9,64616
The Family Under The Bridge: A Newbery Honor Award Winner,https://www.amazon.com/Family-Bridge-Natalie-Savage-Carlson/dp/0064402509/ref=sr_1_1?keywords=The+Family+Under+The+Bridge&qid=1674997709&s=books&sr=1-1,Natalie Savage Carlson,HarperCollins; Reissue edition,"November 12, 2019",128.0,7,4.4,83022
Foxfire: Confessions Of A Girl Gang,https://www.amazon.com/Foxfire-Confessions-Joyce-Carol-Oates/dp/0452272319/ref=sr_1_1?keywords=Foxfire+by+Joyce+Carol+Oates&qid=1697011473&sr=8-1,Joyce Carol Oates,Plume,"August 1, 1994",328.0,,1.9,96530
Last Night At The Lobster,https://www.amazon.com/Last-Night-Lobster-Stewart-ONan/dp/0143114425/ref=sr_1_1?keywords=Last+Night+at+the+Lobster+by+Stewart+O%27Nan&qid=1696979506&sr=8-1,Stewart O'Nan,Penguin Books; Reprint edition,"October 28, 2008",146.0,,2.9,85454
Love Anthony,https://www.amazon.com/Love-Anthony-Lisa-Genova/dp/143916469X/ref=sr_1_1?keywords=Love+Anthony+by+Lisa+Genova&qid=1697082181&sr=8-1,Lisa Genova,Gallery Books; 3.3.2013 edition,"April 2, 2013",336.0,,4.9,24646
"A Dance To The Music Of Time: Winter, Vol. 4",https://www.amazon.com/Dance-Music-Time-Vol-Winter/dp/B000MORZLG/ref=sr_1_14?keywords=A+Dance+to+the+Music+of+Time+by+Anthony+Powell&qid=1697025790&sr=8-14,Anthony Powell,ARROW,"Import, January 1, 1997",816.0,,1.6,72748
"The Last Patriot: A Thriller (Scot Harvath Series, The)",https://www.amazon.com/Last-Patriot-Thriller-Scot-Harvath/dp/1982148314/ref=sr_1_1?keywords=The+Last+Patriot+by+Brad+Thor&qid=1696976294&sr=8-1,Brad Thor,Emily Bestler Books,"April 6, 2021",336.0,,2.3,74366
The Drover'S Wife,https://www.amazon.com/Drovers-Wife-Henry-Lawson/dp/1502334062/ref=sr_1_1?keywords=The+Drover%27s+Wife+by+Henry+Lawson&qid=1697006914&sr=8-1,Henry Lawson,CreateSpace Independent Publishing Platform,"September 10, 2014",28.0,,2.3,94449
At The Mountains Of Madness,https://www.amazon.com/At-Mountains-Madness-H-Lovecraft/dp/1090682425/ref=sr_1_1?keywords=At+the+Mountains+of+Madness+by+H.+P.+Lovecraft&qid=1696980139&sr=8-1,H. P. Lovecraft,Independently published,"March 16, 2019",140.0,,2.8,37068
The Mark Of The Beast,https://www.amazon.com/Mark-Beast-Rudyard-Kipling/dp/1503167879/ref=sr_1_1?keywords=The+Mark+Of+The+Beast+by+Rudyard+Kipling&qid=1697043860&sr=8-1,Rudyard Kipling,CreateSpace Independent Publishing Platform,"November 9, 2014",34.0,,4.7,59917
The Year We Disappeared: A Father - Daughter Memoir,https://www.amazon.com/Year-We-Disappeared-Father-Daughter/dp/1599904543/ref=sr_1_1?crid=3F9KJ1QF4AKPR&keywords=the+year+we+disappeared+busby&qid=1682216142&sprefix=the+year+we+disappeared_busby%2Caps%2C541&sr=8-1,Cylin Busby,Bloomsbury USA Childrens; Reprint edition,"April 1, 2010",368.0,14,4.9,64424
"Slavery At Sea: Terror, Sex, And Sickness In The Middle Passage (New Black Studies Series)",https://www.amazon.com/Slavery-Sea-Sickness-Passage-Studies/dp/0252082028/ref=sr_1_1?keywords=Slavery+at+Sea+by+Sowande+M.+Mustakeem&qid=1696987128&sr=8-1,Sowande M Mustakeem,University of Illinois Press; Illustrated edition,"September 30, 2016",296.0,,3.2,55375
The Division Of Labor In Society,https://www.amazon.com/Division-Labor-Society-Emile-Durkheim/dp/1476749736/ref=sr_1_1?keywords=The+Division+of+Labor+in+Society+by+%C3%89mile+Durkheim&qid=1696979306&sr=8-1,Emile Durkheim,Free Press; 1st edition,"February 25, 2014",416.0,,4.4,8787
Zero K: A Novel,https://www.amazon.com/Zero-K-Novel-Don-DeLillo/dp/1501138073/ref=sr_1_1?keywords=Zero+K+by+Don+DeLillo&qid=1697025039&sr=8-1,Don Delillo,Scribner; Reprint edition,"May 16, 2017",288.0,,2.6,48469
Weeping Under This Same Moon,https://www.amazon.com/Weeping-Under-This-Same-Moon/dp/0981491006/ref=sr_1_1?keywords=Weeping+Under+This+Same+Moon+by+Jana+Laiz&qid=1697016020&sr=8-1,Jana Laiz,Crow Flies Press; Trade Paper edition,"May 31, 2008",271.0,13,2.0,98493
Eat The Document: A Novel,https://www.amazon.com/Eat-Document-Novel-Dana-Spiotta/dp/0743273001/ref=sr_1_1?keywords=Eat+the+Document+by+Dana+Spiotta&qid=1697037453&sr=8-1,Dana Spiotta,Scribner; First Thus Used edition,"November 28, 2006",304.0,,4.2,20256
Fingersmith,https://www.amazon.com/Fingersmith-Sarah-Waters/dp/1573229725/ref=sr_1_1?keywords=Fingersmith+by+Sarah+Waters&qid=1697047744&sr=8-1,Sarah Waters,Riverhead Books; First Edition,"October 1, 2002",582.0,,2.8,29262
The Little School: Tales Of Disappearance And Survival,https://www.amazon.com/Little-School-Tales-Disappearance-Survival/dp/1573440299/ref=sr_1_1?crid=2IBLIIWFPBM4E&keywords=The+Little+School_Partnoy&qid=1681955078&sprefix=the+little+school_partnoy%2Caps%2C525&sr=8-1,Alicia Partnoy,Cleis Press; 2nd edition,"September 3, 1998",136.0,,3.7,51277
The Basketball Diaries: The Classic About Growing Up Hip On New York'S Mean Streets,https://www.amazon.com/Basketball-Diaries-Jim-Carroll/dp/0553202405/ref=sr_1_1?keywords=The+Basketball+Diaries+by+Jim+Carroll&qid=1697053880&sr=8-1,Jim Carroll,Penguin Books; First Edition,"July 7, 1987",224.0,,3.9,30513
Gray Mountain: A Novel,https://www.amazon.com/Gray-Mountain-Novel-John-Grisham/dp/0345543254/ref=sr_1_1?keywords=Gray+Mountain&qid=1678629277&s=books&sr=1-1,John Grisham,Vintage; 2014th edition,"August 18, 2015",480.0,,4.0,47942
Time And Again,https://www.amazon.com/Time-and-Again-Jack-Finney-audiobook/dp/B004VLLJB8/ref=sr_1_1?crid=2QR2EOSMNFDXU&keywords=Time+and+Again+Jack+Finney&qid=1666708792&qu=eyJxc2MiOiIyLjE0IiwicXNhIjoiMS44MyIsInFzcCI6IjEuNzQifQ%3D%3D&sprefix=time+and+again+jack+finney%2Caps%2C541&sr=8-1,Jack Finney,Atria; Reissue edition,"June 2, 2020",512.0,,3.3,99845
Fatelessness,https://www.amazon.com/Fatelessness-Vintage-International-Imre-Kertesz-ebook/dp/B000XUBE70/ref=sr_1_1?crid=3D4R56W9ZI58E&keywords=Fatelessness_Kert%C3%A9sz&qid=1682050220&s=instant-video&sprefix=fatelessness_kert%C3%A9sz%2Cinstant-video%2C350&sr=1-1,Imre Kertész,Vintage; Reprint edition,"December 7, 2004",272.0,,3.0,34611
The Book Of Aron,https://www.amazon.com/Book-Aron-Jim-Shepard/dp/0771079729/ref=sr_1_2?keywords=The+Book+of+Aron+by+Jim+Shepard&qid=1697057774&sr=8-2,Jim Shepard,Emblem Editions,"International Edition, May 3, 2016",272.0,,4.8,49836
Sonnets From The Portuguese,https://www.amazon.com/Sonnets-Portuguese-Elizabeth-Barrett-Browning/dp/1470197723/ref=sr_1_6?keywords=Sonnets+from+the+Portuguese+by+Elizabeth+Barrett+Browning&qid=1696982740&sr=8-6,Elizabeth Barrett Browning,CreateSpace Independent Publishing Platform,"March 17, 2012",52.0,,1.4,46414
A Man In Full,https://www.amazon.com/Man-Full-Tom-Wolfe/dp/0553381334/ref=sr_1_1?keywords=A+Man+In+Full+by+Tom+Wolfe&qid=1696982661&sr=8-1,Tom Wolfe,Dial Press; Reprint edition,"January 1, 2001",704.0,,2.1,38522
"Great Yarmouth Corporation. A Report Of The Investigation Before His Majesty'S Municipal Commissioners ... Appointed To Examine Into, And Report On ... Compiled By Henry Barrett. Second Edition.",https://www.amazon.com/Corporation-investigation-Municipal-Commissioners-appointed/dp/1241603693/ref=sr_1_1?crid=2253F7MYXXQP3&keywords=a+municipal+report+henry&qid=1682888717&sprefix=a+municipal+report_henry%2Caps%2C481&sr=8-1,Anonymous,"British Library, Historical Print Editions","April 19, 2011",368.0,,3.9,71477
"The Silver Pigs (Marcus Didius Falco Mysteries) (Marcus Didius Falco Mysteries, 1)",https://www.amazon.com/Silver-Pigs-Detective-Novel-Ancient/dp/0345369076/ref=sr_1_1?keywords=The+Silver+Pigs+by+Lindsey+Davis&qid=1697471988&sr=8-1,Lindsey Davis,Minotaur Books,"September 13, 2011",352.0,,3.2,44305
Gulliver’S Travels (Collins Classics),https://www.amazon.com/Gullivers-Travels-Collins-Classics-Jonathan/dp/000735102X/ref=sr_1_5?keywords=Gulliver%27s+Travels+by+Jonathan+Swift&qid=1697471488&sr=8-5,Jonathan Swift,William Collins; Reprint edition,"July 23, 2013",336.0,18,1.7,79214
Big Blonde And Other Stories,https://www.amazon.com/Blonde-Other-Stories-Dorothy-Parker/dp/0146000765/ref=sr_1_2?keywords=Big+Blonde+by+Dorothy+Parker&qid=1697003931&sr=8-2,Dorothy Parker,Penguin Books; Later Printing edition,"September 1, 1995",64.0,,4.0,44141
"Gone (Jack Caffery, Book 5) (Jack Caffery/Walking Man Series, 3)",https://www.amazon.com/Gone-Jack-Caffery-Book-5/dp/0802145701/ref=sr_1_1?keywords=Gone+by+Mo+Hayder&qid=1696989835&sr=8-1,Mo Hayder,Grove Press; Reprint edition,"February 14, 2012",416.0,,1.1,90537
Gossamer,https://www.amazon.com/Gossamer-Lois-Lowry/dp/0385734166/ref=sr_1_1?crid=I4K0IGWJMYUL&keywords=gossamer+lowry&qid=1682710537&s=instant-video&sprefix=gossamer_lowry%2Cinstant-video%2C346&sr=1-1,Lois Lowry,Yearling; Reprint edition,"January 8, 2008",176.0,9,3.6,8118
"Reading With Patrick: A Teacher, A Student, And A Life-Changing Friendship",https://www.amazon.com/Reading-Patrick-Teacher-Life-Changing-Friendship/dp/0812987144/ref=sr_1_1?keywords=Reading+with+Patrick+by+Michelle+Kuo&qid=1696997778&sr=8-1,Michelle Kuo,Random House Trade Paperbacks; Reprint edition,"April 3, 2018",336.0,,2.6,13080
"Red Queen (Red Queen, 1)",https://www.amazon.com/Red-Queen-Victoria-Aveyard/dp/006231064X/ref=sr_1_1?keywords=Red+Queen+by+Victoria+Aveyard&qid=1697017994&sr=8-1,Victoria Aveyard,HarperTeen; Reprint edition,"June 7, 2016",416.0,14+,1.6,9971
The Story Of B (Ishmael Series),https://www.amazon.com/Story-B-Ishmael-Daniel-Quinn/dp/0553379011/ref=sr_1_1?keywords=The+Story+of+B+by+Daniel+Quinn&qid=1697049002&sr=8-1,Daniel Quinn,Bantam,"December 1, 1997",352.0,,3.6,22380
"Nevermore: The Final Maximum Ride Adventure (Maximum Ride, 8)",https://www.amazon.com/Nevermore-Maximum-Novel-James-Patterson/dp/0316101745/ref=sr_1_1?keywords=Nevermore+by+James+Patterson&qid=1696974280&sr=8-1,James Patterson,jimmy patterson; Reprint edition,"February 25, 2014",368.0,10,2.5,15367
Three Lives,https://www.amazon.com/3-Lives-Gertrude-Stein/dp/0394701534/ref=sr_1_1?keywords=Three+Lives+by+Gertrude+Stein&qid=1696961689&sr=8-1,Gertrude Stein,CreateSpace Independent Publishing Platform,"May 21, 2017",114.0,,4.4,14140
This Side Of Paradise: Premium Edition - Illustrated,https://www.amazon.com/This-Side-Paradise-Premium-Illustrated/dp/1532864884/ref=sr_1_4?keywords=This+Side+of+Paradise+by+F.+Scott+Fitzgerald&qid=1696973590&sr=8-4,F. Scott Fitzgerald,CreateSpace Independent Publishing Platform,"April 23, 2016",190.0,,2.6,86550
Fatherless America: Confronting Our Most Urgent Social Problem,https://www.amazon.com/Fatherless-America-Confronting-Urgent-Problem/dp/006092683X/ref=sr_1_1?keywords=Fatherless+America+by+David+Blankenhorn&qid=1697044997&sr=8-1,David Blankenhorn,Harper Perennial,"January 5, 1996",336.0,,1.2,91755
The Yankee Years,https://www.amazon.com/Yankee-Years-Joe-Torre/dp/0767930428/ref=sr_1_1?keywords=The+Yankee+Years+by+Joe+Torre&qid=1697020052&sr=8-1,Joe Torre,Anchor; Reprint edition,"March 9, 2010",528.0,,4.6,90167
Five Flavors Of Dumb,https://www.amazon.com/Five-Flavors-Dumb-Antony-John/dp/0142419435/ref=sr_1_1?keywords=Five+Flavors+of+Dumb+by+Antony+John&qid=1696974750&sr=8-1,Antony John,Speak,"September 29, 2011",368.0,12,2.9,60653
The War That Ended Peace: The Road To 1914,https://www.amazon.com/War-That-Ended-Peace-Road/dp/0812980662/ref=sr_1_1?keywords=The+War+That+Ended+Peace+by+Margaret+MacMillan&qid=1697055375&sr=8-1,Margaret Macmillan,Random House Trade Paperbacks; NO-VALUE edition,"July 29, 2014",784.0,,1.1,25114
"Breaking The Rules (Pushing The Limits, Book 6) (Pushing The Limits)",https://www.amazon.com/Breaking-Rules-Coming-Romance-Pushing-ebook/dp/B074ZBPLCQ/ref=sr_1_2?crid=6GULBFOK6330&keywords=Pushing+The+Limits_McGarry&qid=1682641740&s=instant-video&sprefix=pushing+the+limits_mcgarry%2Cinstant-video%2C514&sr=1-2,Katie Mcgarry,Mira Ink,"January 1, 2015",464.0,,1.7,48349
Small Is Beautiful: Economics As If People Mattered (Harper Perennial Modern Thought),https://www.amazon.com/Small-Beautiful-Economics-Mattered-Perennial/dp/0061997765/ref=sr_1_1?crid=3U0FWP8PMOTA1&keywords=Small+Is+Beautiful&qid=1673695880&s=books&sprefix=small+is+beautiful%2Cstripbooks-intl-ship%2C553&sr=1-1&asin=0061997765&revisionId=&format=4&depth=1,E. F. Schumacher,Harper Perennial; Reprint edition,"Illustrated, October 19, 2010",352.0,,1.4,1461
The Weirdo,https://www.amazon.com/Weirdo-Theodore-Taylor/dp/0152056661/ref=sr_1_1?keywords=The+Weirdo+by+Theodore+Taylor&qid=1696982315&sr=8-1,Theodore Taylor,Clarion Books; First Edition,"March 1, 2006",304.0,12,3.8,42690
