title,title_link,author,publisher,publication_date,#pages,reading_age,average_rating,sales_rank
Indignation (Vintage International),https://www.amazon.com/Indignation-Vintage-International-Philip-Roth/dp/0307388913/ref=sr_1_1?keywords=Indignation+by+Philip+Roth&qid=1697050039&sr=8-1,Philip Roth,Vintage; Reprint edition,"October 6, 2009",256.0,,1.4,13733
Better Nate Than Ever,https://www.amazon.com/Better-Nate-Than-Federle-2014-01-30/dp/B01FGOHZ02/ref=sr_1_1?keywords=Better+Nate+Than+Ever+by+Tim+Federle&qid=1697005685&sr=8-1,Tim Federle,Simon & Schuster Books for Young Readers; Media Tie-In edition,"March 29, 2022",304.0,10,1.3,22481
The Other Side Of The Island,https://www.amazon.com/Other-Side-Island-Allegra-Goodman/dp/1595141960/ref=sr_1_1?keywords=The+Other+Side+of+the+Island+by+Allegra+Goodman&qid=1697063607&sr=8-1,Allegra Goodman,Razorbill,"May 14, 2009",288.0,12,2.7,80103
Coming Through Slaughter,https://www.amazon.com/Coming-Through-Slaughter-Michael-Ondaatje/dp/0679767851/ref=sr_1_1?keywords=Coming+Through+Slaughter+by+Michael+Ondaatje&qid=1697016189&sr=8-1,Michael Ondaatje,Vintage; Reprint edition,"March 19, 1996",160.0,,4.0,33221
"The Son Of Neptune (Heroes Of Olympus, Book 2)",https://www.amazon.com/Son-Neptune-Heroes-Olympus-Book/dp/1423141997/ref=sr_1_1?keywords=The+Son+of+Neptune+by+Rick+Riordan&qid=1697006597&sr=8-1,Rick Riordan,Disney Hyperion; Reprint edition,"July 2, 2013",560.0,9,1.1,63259
Unfriended,https://www.amazon.com/Unfriended-Rachel-Vail/dp/0147511542/ref=sr_1_1?keywords=Unfriended+by+Rachel+Vail&qid=1697022095&sr=8-1,Rachel Vail,Puffin Books; Reissue edition,"September 1, 2015",304.0,10,3.0,75408
Short Nights Of The Shadow Catcher: The Epic Life And Immortal Photographs Of Edward Curtis,https://www.amazon.com/Short-Nights-Shadow-Catcher-Photographs/dp/0544102762/ref=sr_1_1?keywords=Short+Nights+of+the+Shadow+Catcher+by+Timothy+Egan&qid=1697033178&sr=8-1,Timothy Egan,Mariner Books; Reprint edition,"Illustrated, August 6, 2013",384.0,,3.0,8694
Our Sister Killjoy,https://www.amazon.com/Our-Sister-Killjoy-Aidoo-1994-05-03/dp/B01FIXGZDY/ref=sr_1_1?keywords=Our+Sister+Killjoy+by+Ama+Ata+Aidoo&qid=1697042886&sr=8-1,Ama Ata Aidoo,Longman; First Paperback Edition,"January 1, 1994",134.0,,1.2,53738
A Serious Proposal To The Ladies The Annotated Edition,https://www.amazon.com/serious-proposal-ladies-annotated/dp/B08FP3SQK2/ref=sr_1_2?keywords=A+Serious+Proposal+To+The+Ladies+by+Mary+Astell&qid=1697057346&sr=8-2,Mary Astell,Independently published,"August 13, 2020",231.0,,1.7,72448
"The Black Count: Glory, Revolution, Betrayal, And The Real Count Of Monte Cristo",https://www.amazon.com/Black-Count-Revolution-Betrayal-Cristo/dp/0307382478/ref=sr_1_1?keywords=The+Black+Count+by+Tom+Reiss&qid=1696986988&sr=8-1,Tom Reiss,Crown; NO-VALUE edition,"May 14, 2013",432.0,,2.8,96561
Sleeper & The Spindle,https://www.amazon.com/Sleeper-Spindle-Neil-Gaiman/dp/0062398245/ref=sr_1_1?keywords=The+Sleeper+and+the+Spindle+by+Neil+Gaiman&qid=1697020787&sr=8-1,Neil Gaiman,Bloomsbury Children's Books,"December 3, 2019",71.0,,2.3,84166
The Astonishing Color Of After,https://www.amazon.com/Astonishing-Color-After-Emily-X-R/dp/0316464015/ref=sr_1_1?keywords=The+Astonishing+Color+of+After+by+Emily+X.+R.+Pan&qid=1697023279&sr=8-1,Emily X.R. Pan,"Little, Brown Books for Young Readers","March 19, 2019",480.0,12,2.1,38583
Amazing Grace: A Vocabulary Of Faith,https://www.amazon.com/Amazing-Grace-Vocabulary-Kathleen-Norris/dp/1573227218/ref=sr_1_1?keywords=Amazing+Grace+by+Kathleen+Norris&qid=1696981339&sr=8-1,Kathleen Norris,Riverhead Books; Revised ed. edition,"April 1, 1999",384.0,,1.8,92620
The Obstacle Is The Way By Ryan Holiday Hardcover 2014,https://www.amazon.com/Obstacle-Ryan-Holiday-Hardcover-2014/dp/B09V8225Z1/ref=sr_1_2?crid=23Y3QAH27BON0&keywords=The+Obstacle+is+the+Way+Ryan+Holiday&qid=1666846065&qu=eyJxc2MiOiIxLjgwIiwicXNhIjoiMS43NiIsInFzcCI6IjEuNzQifQ%3D%3D&sprefix=the+obstacle+is+the+way+ryan+holiday%2Caps%2C568&sr=8-2,Ryan Holiday,Generic,"January 1, 2014",230.0,12,3.3,45356
We Gon' Be Alright: Notes On Race And Resegregation,https://www.amazon.com/We-Gon-Be-Alright-Resegregation/dp/0312429487/ref=sr_1_1?keywords=We+Gon%27+Be+Alright+by+Jeff+Chang&qid=1697019643&sr=8-1,Jeff Chang,Picador,"September 13, 2016",208.0,,3.8,77037
A Column Of Fire: A Novel (Kingsbridge),https://www.amazon.com/Column-Fire-Novel-Kingsbridge/dp/0451477995/ref=tmm_pap_swatch_0?_encoding=UTF8&qid=1680461291&sr=8-1,Ken Follett,Penguin Books; Reprint edition,"July 31, 2018",928.0,,2.3,64064
Let Us Now Praise Famous Men,https://www.amazon.com/Let-Now-Praise-Famous-Men/dp/0618127496/ref=sr_1_1?keywords=Let+Us+Now+Praise+Famous+Men+by+James+Agee&qid=1697010004&sr=8-1,Walker Evans,Mariner Books Classics; Illustrated edition,"Illustrated, August 14, 2001",432.0,,3.5,26177
Dragon Slippers,https://www.amazon.com/Dragon-Slippers-Jessica-Day-George/dp/1599902753/ref=sr_1_1?keywords=Dragon+Slippers+by+Jessica+Day+George&qid=1696975791&sr=8-1,Jessica Day George,Bloomsbury USA Childrens; First Edition,"May 1, 2008",352.0,8,4.7,90688
The Seat Of The Soul: 25Th Anniversary Edition With A Study Guide,https://www.amazon.com/Seat-Soul-Anniversary-Study-Guide/dp/147675540X/ref=sr_1_1?keywords=The+Seat+of+the+Soul+by+Gary+Zukav&qid=1697008525&sr=8-1,Gary Zukav,Simon & Schuster; Anniversary edition,"Special Edition, March 11, 2014",384.0,,2.5,68590
"Ethnic Groups In Conflict, Updated Edition With A New Preface",https://www.amazon.com/Ethnic-Groups-Conflict-Updated-Preface/dp/0520227069/ref=sr_1_1?keywords=Ethnic+Groups+in+Conflict+by+Donald+Horowitz&qid=1697024705&sr=8-1,Donald L. Horowitz,University of California Press; 2nd edition,"October 2, 2000",711.0,,4.8,86145
Nation,https://www.amazon.com/Nation-Terry-Pratchett/dp/0061433039/ref=sr_1_1?keywords=Nation+by+Terry+Pratchett&qid=1697038000&sr=8-1,Terry Pratchett,HarperCollins; Reprint edition,"January 1, 2009",367.0,13,4.9,51398
Austenland: A Novel,https://www.amazon.com/Austenland-Novel-Shannon-Hale/dp/1596912863/ref=sr_1_1?keywords=Austenland+by+Shannon+Hale&qid=1697025330&sr=8-1,Shannon Hale,Bloomsbury USA; First Edition,"June 8, 2008",208.0,,2.7,88563
The Recruit (1) (Cherub),https://www.amazon.com/Recruit-CHERUB-Robert-Muchamore/dp/1442413603/ref=sr_1_1?crid=21AJOLOT8GZ9S&keywords=The+Recruit+by+Robert+Muchamore&qid=1673509312&s=books&sprefix=the+recruit+by+robert+muchamore%2Cstripbooks-intl-ship%2C545&sr=1-1,Robert Muchamore,Simon & Schuster Books for Young Readers; Reprint edition,"December 21, 2010",352.0,10,3.3,52035
Gynaikes Pou Den Lygisan Sto Cane River,https://www.amazon.com/gynaikes-pou-lygisan-cane-river/dp/960364210X/ref=sr_1_9?crid=1J83DLHQAZ7P4&keywords=Cane+River+Lalita+Tademy&qid=1666805999&qu=eyJxc2MiOiIyLjA2IiwicXNhIjoiMS4wNCIsInFzcCI6IjEuMzAifQ%3D%3D&sprefix=cane+river+lalita+tademy%2Caps%2C415&sr=8-9,Lalita Tademy,Dioptra,"January 1, 2002",0.0,,4.6,81187
Caged Warrior,https://www.amazon.com/Caged-Warrior-Alan-Lawrence-Sitomer/dp/1484722809/ref=sr_1_1?keywords=Caged+Warrior+by+Alan+Sitomer&qid=1696985523&sr=8-1,Alan Lawrence Sitomer,LBYR Plus,"April 28, 2015",239.0,12,2.2,32026
Last Man Standing,https://www.amazon.com/Last-Man-Standing-David-Baldacci/dp/0446611778/ref=sr_1_1?keywords=Last+Man+Standing+by+David+Baldacci&qid=1696978747&sr=8-1,David Baldacci,Grand Central Publishing; Reissue edition,"August 1, 2017",608.0,,1.7,59510
"The Autumn Republic (The Powder Mage Trilogy, 3)",https://www.amazon.com/Autumn-Republic-Powder-Mage-Trilogy/dp/0316219118/ref=sr_1_1?keywords=The+Autumn+Republic+by+Brian+McClellan&qid=1697020522&sr=8-1,Brian Mcclellan,Orbit; Reprint edition,"January 5, 2016",640.0,,3.8,86227
"The Clan Of The Cave Bear: Earth'S Children, Book One",https://www.amazon.com/Clan-Cave-Bear-Earths-Children/dp/0553381679/ref=sr_1_1?keywords=The+Clan+of+the+Cave+Bear&qid=1679241867&s=books&sr=1-1,Jean M. Auel,Bantam; Reprint edition,"June 25, 2002",512.0,,1.5,26406
Loving Day: A Novel,https://www.amazon.com/Loving-Day-Novel-Mat-Johnson/dp/0812983661/ref=sr_1_1?keywords=Loving+Day+by+Mat+Johnson&qid=1696979048&sr=8-1,Mat Johnson,One World; Reprint edition,"September 6, 2016",304.0,,1.3,29673
The Winter King (The Arthur Books #1),https://www.amazon.com/Winter-King-Arthur-Books/dp/0312156960/ref=sr_1_1?keywords=The+Winter+King+by+Bernard+Cornwell&qid=1697021110&sr=8-1,Bernard Cornwell,St. Martin's Griffin,"April 14, 1993",433.0,,1.7,30357
Night Of The Twisters,https://www.amazon.com/Night-Twisters-Ivy-Ruckman/dp/0064401766/ref=sr_1_1?keywords=Night+of+the+Twisters+by+Ivy+Ruckman&qid=1697031151&sr=8-1,Ivy Ruckman,HarperCollins; Reprint edition,"December 23, 2003",160.0,9,3.0,2887
Daniel Coyle 2 Books Collection Set [The Culture Code: The Secrets Of Highly Successful Groups & The Talent Code: Greatness Isn'T Born. It'S Grown],https://www.amazon.com/Daniel-Coyle-Books-Collection-Culture/dp/B0B5N59BDG/ref=sr_1_8?keywords=The+Culture+Code+by+Daniel+Coyle&qid=1696977690&sr=8-8,Daniel Coyle,Generic,"January 1, 2019",590.0,13,1.7,90301
