title,title_link,author,publisher,publication_date,#pages,reading_age,average_rating,sales_rank
"A Dance To The Music Of Time: Winter, Vol. 4",https://www.amazon.com/Dance-Music-Time-Vol-Winter/dp/B000MORZLG/ref=sr_1_14?keywords=A+Dance+to+the+Music+of+Time+by+Anthony+Powell&qid=1697025790&sr=8-14,Anthony Powell,ARROW,"Import, January 1, 1997",816.0,,3.9,55064
Una Ofensa Mortal / A Great Reckoning (Inspector Gamache) (Spanish Edition),https://www.amazon.com/Una-ofensa-mortal-Great-Reckoning/dp/B09X5ZQKFK/ref=sr_1_2?crid=1WJ34X4Z5F8W0&keywords=A+Great+Reckoning+Louise+Penny&qid=1666823073&qu=eyJxc2MiOiIxLjU1IiwicXNhIjoiMS40NiIsInFzcCI6IjEuNDYifQ%3D%3D&sprefix=a+great+reckoning+louise+penny%2Caps%2C490&sr=8-2,Louise Penny,Salamandra; 001 edition,"July 12, 2022",528.0,,2.0,67879
The Other Slavery: The Uncovered Story Of Indian Enslavement In America,https://www.amazon.com/Other-Slavery-Uncovered-Enslavement-America/dp/054494710X/ref=sr_1_1?keywords=The+Other+Slavery+by+Andr%C3%A9s+Res%C3%A9ndez&qid=1696990026&sr=8-1,Andrés Reséndez,Mariner Books; Reprint edition,"April 18, 2017",448.0,,1.1,50756
Until Friday Night (Field Party),https://www.amazon.com/Until-Friday-Night-Field-Party/dp/1481438840/ref=sr_1_1?crid=11OLDWT1CNOGL&keywords=Until+Friday+Night+by+Abbi+Glines&qid=1677835861&s=books&sprefix=until+friday+night+by+abbi+glines%2Cstripbooks-intl-ship%2C639&sr=1-1,Abbi Glines,Simon & Schuster Books for Young Readers; Reprint edition,"July 5, 2016",352.0,14,1.8,10794
Daughters Of The Vicar (Illustrated),https://www.amazon.com/DAUGHTERS-VICAR-Illustrated-HERBERT-LAWRENCE/dp/B0CG8DNPQL/ref=sr_1_1?keywords=Daughters+of+the+Vicar+by+D.+H.+Lawrence&qid=1697045733&sr=8-1,David Herbert Lawrence,Independently published,"August 22, 2023",70.0,,1.8,31313
The Bean Trees: A Novel,https://www.amazon.com/Bean-Trees-Novel-Barbara-Kingsolver/dp/0061097314/ref=sr_1_1?keywords=The+Bean+Trees+by+Barbara+Kingsolver&qid=1696999583&sr=8-1,Barbara Kingsolver,Harper Perennial Modern Classics; Reprint edition,"Deckle Edge, May 19, 2009",256.0,,2.0,2116
"Writing My Wrongs: Life, Death, And Redemption In An American Prison",https://www.amazon.com/Writing-My-Wrongs-Redemption-American/dp/1101907312/ref=sr_1_1?keywords=Writing+My+Wrongs+by+Shaka+Senghor&qid=1696964291&sr=8-1,Shaka Senghor,Convergent Books; Reprint edition,"January 31, 2017",288.0,,3.0,57096
Writing To Save A Life: The Louis Till File,https://www.amazon.com/Writing-Save-Life-Louis-Till/dp/1501147285/ref=sr_1_1?keywords=Writing+to+Save+a+Life+by+John+Edgar+Wideman&qid=1697019244&sr=8-1,John Edgar Wideman,Scribner; Reprint edition,"October 3, 2017",224.0,,3.7,54010
The Expats: A Novel,https://www.amazon.com/Expats-Novel-Chris-Pavone/dp/0451498941/ref=sr_1_1?keywords=The+Expats+by+Chris+Pavone&qid=1696962632&sr=8-1,Chris Pavone,Ballantine Books; Reprint edition,"January 22, 2013",368.0,,4.7,70792
Sonnets From The Portuguese,https://www.amazon.com/Sonnets-Portuguese-Elizabeth-Barrett-Browning/dp/1470197723/ref=sr_1_6?keywords=Sonnets+from+the+Portuguese+by+Elizabeth+Barrett+Browning&qid=1696982740&sr=8-6,Elizabeth Barrett Browning,CreateSpace Independent Publishing Platform,"March 17, 2012",52.0,,2.3,31723
Girl In Hyacinth Blue,https://www.amazon.com/Girl-Hyacinth-Blue-Susan-Vreeland/dp/014029628X/ref=sr_1_1?keywords=Girl+In+Hyacinth+Blue+by+Susan+Vreeland&qid=1697059285&sr=8-1,Susan Vreeland,Penguin Books,"October 1, 2000",242.0,18,2.6,81332
"Ebony And Ivy: Race, Slavery, And The Troubled History Of America'S Universities",https://www.amazon.com/Ebony-Ivy-Troubled-Americas-Universities/dp/1608194027/ref=sr_1_1?keywords=Ebony+and+Ivy+by+Craig+Steven+Wilder&qid=1697045670&sr=8-1,Craig Steven Wilder,Bloomsbury Publishing; Reprint edition,"Illustrated, September 2, 2014",432.0,,4.4,90794
The Blazing World: A Novel,https://www.amazon.com/Blazing-World-Novel-Siri-Hustvedt/dp/1476747245/ref=sr_1_1?keywords=The+Blazing+World+by+Siri+Hustvedt&qid=1697003000&sr=8-1,Siri Hustvedt,Simon & Schuster; Reprint edition,"November 4, 2014",384.0,,2.3,81545
The Path: A New Way To Think About Everything,https://www.amazon.com/Path-New-Think-About-Everything/dp/0241970423/ref=sr_1_2?crid=WENA4N8UN3G6&keywords=The+Path_Christine+Gross-Loh&qid=1682546655&s=instant-video&sprefix=the+path_christine+gross-loh%2Cinstant-video%2C498&sr=1-2,Professor Michael Puett,Viking,"March 2, 2017",224.0,,4.5,41909
Talkin About Bessie (The Story About Elizabeth Coleman),https://www.amazon.com/Talkin-About-Bessie-Elizabeth-Coleman/dp/0439598710/ref=sr_1_1?keywords=Talkin%27+About+Bessie+by+Nikki+Grimes&qid=1697023387&sr=8-1,Nikki Grimes,Scholastic,"January 1, 2002",48.0,,3.4,29174
Cryptonomicon,https://www.amazon.com/Cryptonomicon-Neal-Stephenson/dp/0380788624/ref=sr_1_1?keywords=Cryptonomicon+by+Neal+Stephenson&qid=1697021342&sr=8-1,Neal Stephenson,William Morrow Paperbacks,"May 3, 2000",928.0,,3.7,49936
Charlie Wilson'S War: The Extraordinary Story Of How The Wildest Man In Congress And A Rogue Cia Agent Changed The History,https://www.amazon.com/Charlie-Wilsons-War-Extraordinary-Operation/dp/0871138549/ref=sr_1_1?keywords=Charlie+Wilson%27s+War+by+George+Crile&qid=1697052278&sr=8-1,George Crile,Grove Press; Illustrated edition,"Illustrated, April 22, 2004",560.0,,4.7,66042
An Ember In The Ashes,https://www.amazon.com/Ember-Ashes-Sabaa-Tahir/dp/1595148043/ref=sr_1_1?keywords=An+Ember+in+the+Ashes+by+Sabaa+Tahir&qid=1697007213&sr=8-1,Sabaa Tahir,Razorbill; Reprint edition,"February 9, 2016",480.0,12,1.5,74717
The Rapture Of Canaan,https://www.amazon.com/Rapture-Canaan-Sheri-Reynolds/dp/0425162443/ref=sr_1_1?keywords=The+Rapture+of+Canaan+by+Sheri+Reynolds&qid=1697082293&sr=8-1,Sheri Reynolds,Berkley Books,"January 1, 1997",320.0,,5.0,33788
The Lord Of Opium (The House Of The Scorpion),https://www.amazon.com/Lord-Opium-House-Scorpion/dp/1665918268/ref=sr_1_1?keywords=The+Lord+of+Opium+by+Nancy+Farmer&qid=1696990280&sr=8-1,Nancy Farmer,Atheneum Books for Young Readers; Reissue edition,"June 7, 2022",448.0,12,2.8,18074
Crackback,https://www.amazon.com/Crackback-John-Coy/dp/0439697344/ref=sr_1_1?crid=3CXZ9STGS3B9H&keywords=Crackback_Coy&qid=1682640201&s=audible&sprefix=crackback_coy%2Caudible%2C308&sr=1-1,John Coy,Scholastic Paperbacks; Reprint edition,"September 1, 2007",224.0,,4.7,22744
After Dark (Vintage International),https://www.amazon.com/After-Vintage-International-Haruki-Murakami/dp/0307278735/ref=sr_1_1?keywords=After+Dark+by+Haruki+Murakami&qid=1697031074&sr=8-1,Haruki Murakami,Vintage; Reprint edition,"Illustrated, April 29, 2008",256.0,,1.4,96209
Havana Nocturne: How The Mob Owned Cuba And Then Lost It To The Revolution,https://www.amazon.com/Havana-Nocturne-Owned-Cuba-Revolution/dp/0061712744/ref=sr_1_1?keywords=Havana+Nocturne+by+T.+J.+English&qid=1697048833&sr=8-1,T. J. English,William Morrow Paperbacks; Illustrated edition,"Illustrated, June 9, 2009",396.0,,1.0,34797
My Life Next Door,https://www.amazon.com/Life-Next-Door-Huntley-Fitzpatrick/dp/0142426040/ref=sr_1_1?crid=2X25PGZEA7PER&keywords=My+Life+Next+Door&qid=1680878812&s=books&sprefix=my+life+next+door%2Cstripbooks-intl-ship%2C305&sr=1-1,Huntley Fitzpatrick,Speak; Reprint edition,"June 13, 2013",432.0,14,4.7,61109
The Bottle Imp,https://www.amazon.com/The-Bottle-Imp/dp/8742973910/ref=sr_1_5?keywords=The+Bottle+Imp+by+Robert+Louis+Stevenson&qid=1697062913&sr=8-5,Robert Louis Er A - Stevenson,Grafisk Forlag.,"January 1, 1967",,,1.7,2609
Bamboo People,https://www.amazon.com/Bamboo-People-Mitali-Perkins/dp/1580893295/ref=sr_1_1?keywords=Bamboo+People+by+Mitali+Perkins&qid=1697008909&sr=8-1,Mitali Perkins,Charlesbridge; Reprint edition,"July 1, 2012",288.0,12,1.5,27256
Becket,https://www.amazon.com/Becket-Movie-Tie-Richard-Burton/dp/B001OTLN16/ref=sr_1_1?keywords=Becket+by+Jean+Anouilh&qid=1697050805&sr=8-1,Jean Anouilh,September 1995/14th Pr edition,"September 1, 1995",144.0,,2.7,67724
Elective Affinities: A Novel (Oxford World'S Classics),https://www.amazon.com/Elective-Affinities-Oxford-Worlds-Classics/dp/0199555362/ref=sr_1_1?keywords=Elective+Affinities+by+Johann+Wolfgang+von+Goethe&qid=1697012340&sr=8-1,Johann Wolfgang Von Goethe,Oxford University Press; 1st edition,"December 15, 2008",272.0,,2.2,80947
The Memory Palace Of Matteo Ricci,https://www.amazon.com/Memory-Palace-Matteo-Ricci/dp/0140080988/ref=sr_1_1?keywords=The+Memory+Palace+Of+Matteo+Ricci+by+Jonathan+Spence&qid=1697056737&sr=8-1,Jonathan D. Spence,Penguin Books; unknown edition,"September 3, 1985",368.0,,3.0,46352
"Mighty Be Our Powers: How Sisterhood, Prayer, And Sex Changed A Nation At War",https://www.amazon.com/Mighty-Be-Our-Powers-Sisterhood/dp/0984295194/ref=sr_1_1?keywords=Mighty+Be+Our+Powers+by+Leymah+Gbowee&qid=1696979180&sr=8-1,Leymah Gbowee,Beast Books; Illustrated edition,"Illustrated, March 26, 2013",272.0,10,4.7,11920
A Month In The Country (New York Review Books Classics),https://www.amazon.com/Month-Country-Review-Books-Classics/dp/0940322471/ref=sr_1_1?keywords=A+Month+in+the+Country+by+J.+L.+Carr&qid=1697050953&sr=8-1,J.L. Carr,NYRB Classics; Presumed to be 1st as edition is unstated,"Day to Day Calendar, October 31, 2000",135.0,,1.3,41776
"The Elements Of Journalism, Revised And Updated 3Rd Edition: What Newspeople Should Know And The Public Should Expect",https://www.amazon.com/Elements-Journalism-Revised-Updated-3rd/dp/0804136785/ref=sr_1_1?crid=20LX4VHE4P3JA&keywords=The+Elements+of+Journalism_Tom+Rosenstiel&qid=1682008389&s=instant-video&sprefix=the+elements+of+journalism_tom+rose%2Cinstant-video%2C590&sr=1-1,Bill Kovach,Crown; Updated edition,"April 1, 2014",352.0,1,2.1,75925
King Of The Mild Frontier: An Ill-Advised Autobiography,https://www.amazon.com/King-Mild-Frontier-Ill-Advised-Autobiography/dp/0060502517/ref=sr_1_1?keywords=King+Of+The+Mild+Frontier+by+Chris+Crutcher&qid=1696978671&sr=8-1,Chris Crutcher,Greenwillow Books; Illustrated edition,"Illustrated, October 5, 2004",260.0,14,4.1,69580
The Evolution Of Cooperation: Revised Edition,https://www.amazon.com/Evolution-Cooperation-Revised-Robert-Axelrod/dp/0465005640/ref=sr_1_1?keywords=The+Evolution+of+Cooperation+by+Robert+Axelrod&qid=1697031654&sr=8-1,Robert Axelrod,Basic Books; Revised edition,"December 5, 2006",264.0,,4.5,66353
The Invisible Bridge (Vintage Contemporaries),https://www.amazon.com/Invisible-Bridge-Vintage-Contemporaries/dp/140003437X/ref=sr_1_1?keywords=The+Invisible+Bridge+by+Julie+Orringer&qid=1697024728&sr=8-1,Julie Orringer,Vintage; Reprint edition,"January 25, 2011",784.0,,4.0,39292
"The Innovators: How A Group Of Hackers, Geniuses, And Geeks Created The Digital Revolution",https://www.amazon.com/Innovators-Hackers-Geniuses-Created-Revolution/dp/1476708703/ref=sr_1_1?keywords=The+Innovators+by+Walter+Isaacson&qid=1697026242&sr=8-1,Walter Isaacson,Simon & Schuster; Reprint edition,"October 6, 2015",560.0,,4.5,40983
Space Between Us,https://www.amazon.com/Space-Between-Us-Zoya-Pirzad/dp/1851689974/ref=sr_1_1?keywords=The+Space+Between+Us+by+Zoya+Pirzad&qid=1697020219&sr=8-1,Zoya Pirzad,Oneworld Publications,"March 18, 2014",160.0,,1.6,45637
"A Question Of Freedom: A Memoir Of Learning, Survival, And Coming Of Age In Prison",https://www.amazon.com/Question-Freedom-Memoir-Learning-Survival/dp/1583333967/ref=sr_1_1?keywords=A+Question+of+Freedom+by+R.+Dwayne+Betts&qid=1697008885&sr=8-1,Dwayne Betts,Avery; First Edition,"May 4, 2010",256.0,,1.1,89948
A Place Called Freedom,https://www.amazon.com/Place-Called-Freedom-Ken-Follett/dp/150986430X/ref=sr_1_1?keywords=A+Place+Called+Freedom+by+Ken+Follett&qid=1697044851&sr=8-1,Ken Follett,Pan; New Edit/Cover edition,"May 30, 2019",592.0,18,3.2,29030
Rotters,https://www.amazon.com/Rotters-Daniel-Kraus/dp/0385738587/ref=sr_1_1?keywords=Rotters+by+Daniel+Kraus&qid=1697472632&sr=8-1,Daniel Kraus,Ember; Reprint edition,"April 10, 2012",464.0,14,3.2,35434
My Name Is Lucy Barton: A Novel,https://www.amazon.com/My-Name-Lucy-Barton-Novel/dp/0812979524/ref=sr_1_1?keywords=My+Name+is+Lucy+Barton+by+Elizabeth+Strout&qid=1696964125&sr=8-1,Elizabeth Strout,Random House Publishing Group; Reprint edition,"October 11, 2016",240.0,,1.2,17578
If The Oceans Were Ink: An Unlikely Friendship And A Journey To The Heart Of The Quran,https://www.amazon.com/If-Oceans-Were-Ink-Friendship/dp/0805098194/ref=sr_1_1?keywords=If+the+Oceans+Were+Ink+by+Carla+Power&qid=1697048635&sr=8-1,Carla Power,Holt Paperbacks; First Edition,"April 7, 2015",352.0,,2.1,14191
Crossing The Mangrove,https://www.amazon.com/Crossing-Mangrove-Maryse-Conde/dp/0385476337/ref=sr_1_1?keywords=Crossing+the+Mangrove+by+Maryse+Cond%C3%A9&qid=1696964680&sr=8-1,Maryse Conde,Anchor; First Edition,"February 1, 1995",207.0,,3.9,62242
Peony In Love: A Novel,https://www.amazon.com/Peony-Love-Novel-Lisa-See/dp/0812975227/ref=sr_1_1?keywords=Peony+In+Love+by+Lisa+See&qid=1696980019&sr=8-1,Lisa See,Random House Trade Paperbacks; NO-VALUE edition,"Unabridged, February 19, 2008",297.0,,1.7,63192
Descartes: An Intellectual Biography,https://www.amazon.com/Descartes-Intellectual-Biography-Stephen-Gaukroger/dp/0198237243/ref=sr_1_1?keywords=Descartes+by+Stephen+Gaukroger&qid=1696973235&sr=8-1,Stephen Gaukroger,Clarendon Press; Reprint edition,"July 17, 1997",520.0,,4.4,27717
Waiting: A Novel,https://www.amazon.com/Waiting-Novel-Ha-Jin/dp/0375706410/ref=sr_1_1?keywords=Waiting+by+Ha+Jin&qid=1696963414&sr=8-1,Ha Jin,Vintage,"September 19, 2000",308.0,,4.3,51429
The Hummingbird: A Novel,https://www.amazon.com/Hummingbird-Novel-Stephen-P-Kiernan-ebook/dp/B00R1K3V94/ref=sr_1_1?crid=OIXJGWK40RF7&keywords=The+Hummingbird+Stephen+P.+Kiernan&qid=1666780787&qu=eyJxc2MiOiIxLjM2IiwicXNhIjoiMC4wMCIsInFzcCI6IjAuMDAifQ%3D%3D&sprefix=the+hummingbird+stephen+p.+kiernan%2Caps%2C563&sr=8-1,Stephen P. Kiernan,William Morrow Paperbacks; Reprint edition,"June 28, 2016",336.0,,4.1,65978
The Concept Of Law (Clarendon Law Series),https://www.amazon.com/Concept-Law-Clarendon/dp/0198761236/ref=sr_1_1?keywords=The+Concept+of+Law+by+H.+L.+A.+Hart&qid=1696986642&sr=8-1,"H. L. A. Hart, Penelope Bulloch",Oxford University Press; 2nd edition,"June 26, 1997",315.0,,3.0,97403
Emperor Of Ice-Cream.,https://www.amazon.com/Emperor-Ice-Cream-Brian-Moore/dp/B00KJ1BPZO/ref=sr_1_1?keywords=The+Emperor+of+Ice+Cream+by+Brian+Moore&qid=1697043789&sr=8-1,Brian Moore,,"August 1, 2021",0.0,,1.5,83486
The Accidental Tourist: A Novel,https://www.amazon.com/Accidental-Tourist-Novel-Anne-Tyler/dp/0345452003/ref=sr_1_1?keywords=The+Accidental+Tourist+by+Anne+Tyler&qid=1697047836&sr=8-1,Anne Tyler,Vintage; Reprint edition,"April 9, 2002",352.0,,4.6,16502
The Loaded Dog,https://www.amazon.com/Loaded-Dog-Henry-Lawson/dp/1502339064/ref=sr_1_1?keywords=The+Loaded+Dog+by+Henry+Lawson&qid=1697060238&sr=8-1,Henry Lawson,CreateSpace Independent Publishing Platform,"September 10, 2014",26.0,,1.9,90726
Laughter In The Dark,https://www.amazon.com/Laughter-Dark-Vladimir-Nabokov/dp/0679724508/ref=sr_1_1?keywords=Laughter+in+the+Dark+by+Vladimir+Nabokov&qid=1697011937&sr=8-1,Vladimir Nabokov,Vintage; 1st Vintage international ed edition,"December 17, 1989",304.0,,2.3,86525
Unique,https://www.amazon.com/Unique-Alison-Allen-Gray/dp/0192755765/ref=sr_1_2?crid=3HGP01HRFXL52&keywords=Unique+Alison+Allen-Gray&qid=1666857971&qu=eyJxc2MiOiIwLjA3IiwicXNhIjoiMC4wMCIsInFzcCI6IjAuMDAifQ%3D%3D&sprefix=unique+alison+allen-gray%2Caps%2C390&sr=8-2,Alison Allen-Gray,"Oxford University Press, USA; Reissue edition","January 1, 2009",256.0,,2.4,22466
Like No Other Place: The Sandhills Of Nebraska,https://www.amazon.com/Like-No-Other-Place-Sandhills/dp/0803240538/ref=sr_1_11?keywords=People+Like+Us+by+David+Brooks&qid=1697038651&sr=8-11,David Owen,Bison Books,"May 1, 2012",160.0,,2.3,25697
A Deal In Wheat: And Other Stories Of The New And Old West: Original Text,https://www.amazon.com/Deal-Wheat-Other-Stories-Original/dp/B086PSMX73/ref=sr_1_1?keywords=A+Deal+In+Wheat+by+Frank+Norris&qid=1696998529&sr=8-1,Frank Norris,Independently published,"April 6, 2020",123.0,,1.6,28415
Skulduggery Pleasant (Book 1),https://www.amazon.com/Skulduggery-Pleasant-Book-Paperback/dp/0008248788/ref=sr_1_1?crid=3W4K002WXCG10&keywords=Skulduggery+Pleasant_Landy&qid=1682598458&sprefix=skulduggery+pleasant_landy%2Caps%2C540&sr=8-1,Derek Landy,HarperCollinsChildren’sBooks; Reprint edition,"May 1, 2018",384.0,9,4.9,73198
Their Finest Hour (The Second World War),https://www.amazon.com/Their-Finest-Hour-Second-World/dp/0395410568/ref=sr_1_1?keywords=Their+Finest+Hour+by+Winston+Churchill&qid=1697028726&sr=8-1,Winston S. Churchill,Mariner Books; Reissue edition,"May 9, 1986",720.0,,4.8,59812
How Far She Went (Southern Writers Series),https://www.amazon.com/How-Far-Went-Southern-Writers/dp/0380699729/ref=sr_1_1?keywords=How+Far+She+Went+by+Mary+Hood&qid=1697001103&sr=8-1,Mary Hood,Avon Books,"January 1, 1986",144.0,,1.0,12895
Rose Under Fire,https://www.amazon.com/Rose-Under-Fire-Elizabeth-Wein/dp/1423183096/ref=tmm_hrd_swatch_0?_encoding=UTF8&qid=1686798280&sr=1-1,Elizabeth Wein,"Little, Brown Books for Young Readers; Reprint edition","September 2, 2014",384.0,14,4.8,3466
"The Great Divergence: China, Europe, And The Making Of The Modern World Economy (Princeton Classics, 117)",https://www.amazon.com/Great-Divergence-Economy-Princeton-Classics/dp/0691217181/ref=sr_1_1?keywords=The+Great+Divergence&qid=1675169266&s=books&sr=1-1,Kenneth Pomeranz,Princeton University Press,"April 13, 2021",404.0,,4.5,38324
In The Devil'S Snare: The Salem Witchcraft Crisis Of 1692,https://www.amazon.com/Devils-Snare-Salem-Witchcraft-Crisis/dp/0375706909/ref=sr_1_1?keywords=In+the+Devil%27s+Snare+by+Mary+Beth+Norton&qid=1697027184&sr=8-1,Mary Beth Norton,"Vintage; First Edition, First Printing","October 14, 2003",448.0,,3.1,32746
The Poetics Of Space,https://www.amazon.com/Poetics-Space-Gaston-Bachelard/dp/0143107526/ref=sr_1_1?keywords=The+Poetics+of+Space+by+Gaston+Bachelard&qid=1697042609&sr=8-1,"Gaston Bachelard, Maria Jolas, Richard Kearney",Penguin Classics; Reprint edition,"December 30, 2014",304.0,,3.5,13643
All The Birds In The Sky,https://www.amazon.com/All-Birds-Charlie-Jane-Anders/dp/0765379953/ref=tmm_pap_swatch_0?_encoding=UTF8&qid=1673531622&sr=1-1,Charlie Jane Anders,Tor Books; Reprint edition,"April 11, 2017",320.0,,1.0,32122
The Dante Club: A Novel,https://www.amazon.com/Dante-Club-Novel-Matthew-Pearl/dp/034549038X/ref=sr_1_1?keywords=The+Dante+Club+by+Matthew+Pearl&qid=1696999086&sr=8-1,Matthew Pearl,Random House Trade Paperbacks; Reprint edition,"February 10, 2004",400.0,,2.9,20122
Pkt Wife,https://www.amazon.com/Pocket-Wife-Novel-Susan-Crawford/dp/0062362860/ref=sr_1_1?keywords=The+Pocket+Wife+by+Susan+Crawford&qid=1697473164&sr=8-1,Susan Crawford,MorrowPb; Reprint edition,"November 30, 2015",320.0,,4.5,14346
Daughter Of Persia: A Woman'S Journey From Her Father'S Harem Through The Islamic Revolution,https://www.amazon.com/Daughter-Persia-Journey-Fathers-Revolution/dp/0307339742/ref=sr_1_2?keywords=Daughter+of+Persia+by+Sattareh+Farmanfarmaian&qid=1697025474&sr=8-2,Sattareh Farman Farmaian,Crown; NO-VALUE edition,"June 27, 2006",432.0,,3.5,47036
When Work Disappears : The World Of The New Urban Poor,https://www.amazon.com/When-Work-Disappears-World-Urban/dp/0679724176/ref=sr_1_1?keywords=When+Work+Disappears+by+William+Julius+Wilson&qid=1696998271&sr=8-1,William Julius Wilson,Vintage; First Edition,"July 29, 1997",322.0,,4.3,56259
Guerrilla Warfare: 9,https://www.amazon.com/Guerrilla-Warfare-Ernesto-Che-Guevara/dp/8027343070/ref=sr_1_15?keywords=Guerrilla+Warfare+by+Che+Guevara&qid=1697049325&sr=8-15,Ernesto Che Guevara,e-artnow,"July 3, 2022",80.0,,3.0,32436
"Silverfin: The Graphic Novel (A James Bond Adventure, 1)",https://www.amazon.com/SilverFin-Graphic-Novel-James-Adventure/dp/1423130235/ref=sr_1_5?keywords=Silverfin+by+Charlie+Higson&qid=1696981234&sr=8-5,Charlie Higson,"Little, Brown Books for Young Readers; 1st edition","May 18, 2010",160.0,10,5.0,74804
As Simple As Snow,https://www.amazon.com/As-Simple-Snow-Gregory-Galloway-ebook/dp/B001QL5MHS/ref=sr_1_1?crid=8S8M0TE1RMZM&keywords=As+Simple+As+Snow_Galloway&qid=1681983731&s=instant-video&sprefix=as+simple+as+snow_galloway%2Cinstant-video%2C506&sr=1-1,Gregory Galloway,Berkley; Reprint edition,"March 7, 2006",308.0,,2.2,73942
On Black Sisters' Street By Chika Unigwe (2010-09-02),https://www.amazon.com/Black-Sisters-Street-Novel/dp/1400068339/ref=sr_1_1?keywords=On+Black+Sisters+Street+by+Chika+Unigwe&qid=1697026781&sr=8-1,Chika Unigwe,Vintage,"January 1, 1759",0.0,,4.5,78872
The Ugly Little Boy,https://www.amazon.com/Ugly-Little-Widget-Wadget-Doubles/dp/0812559665/ref=sr_1_1?keywords=The+Ugly+Little+Boy+by+Isaac+Asimov&qid=1697004981&sr=8-1,Isaac Asimov,Bantam Books,"August 1, 1993",387.0,,1.5,61038
No Stone Unturned: The True Story Of The World'S Premier Forensic Investigators,https://www.amazon.com/No-Stone-Unturned-Forensic-Investigators/dp/1948239523/ref=sr_1_1?keywords=No+Stone+Unturned+by+Steve+Jackson&qid=1697054216&sr=8-1,Steve Jackson,WildBlue Press,"November 20, 2019",480.0,,4.0,74414
The Book That Changed America: How Darwin'S Theory Of Evolution Ignited A Nation,https://www.amazon.com/Book-That-Changed-America-Evolution/dp/0143130099/ref=sr_1_1?keywords=The+Book+That+Changed+America+by+Randall+Fuller&qid=1697030497&sr=8-1,Randall Fuller,Penguin Books; Reprint edition,"January 2, 2018",304.0,,3.0,254
"Zero Day (John Puller, Book 1) (John Puller Series)",https://www.amazon.com/Zero-John-Puller-David-Baldacci/dp/0446573027/ref=sr_1_1?keywords=Zero+Day+by+David+Baldacci&qid=1696982502&sr=8-1,David Baldacci,Grand Central Publishing; Reprint edition,"March 27, 2012",448.0,,1.3,56530
