title,title_link,author,publisher,publication_date,#pages,reading_age,average_rating,sales_rank
The Long Shadow Of Little Rock: A Memoir,https://www.amazon.com/Long-Shadow-Little-Rock-Memoir/dp/1557288631/ref=sr_1_1?keywords=The+Long+Shadow+of+Little+Rock+by+Daisy+Bates&qid=1697471174&sr=8-1,"Daisy Bates, Clayborne Carson",University of Arkansas Press; Second printing December 1962 edition,"Illustrated, February 1, 2007",260.0,,3.4,70453
The Passion Of Artemisia: A Novel,https://www.amazon.com/Passion-Artemisia-Novel-Susan-Vreeland/dp/0142001821/ref=sr_1_1?keywords=The+Passion+of+Artemisia+by+Susan+Vreeland&qid=1697059472&sr=8-1,Susan Vreeland,Penguin Books; Presumed to be 1st as edition is unstated,"Deckle Edge, December 31, 2002",352.0,18,3.4,36685
Beyond Katrina: A Meditation On The Mississippi Gulf Coast,https://www.amazon.com/Beyond-Katrina-Meditation-Mississippi-Coast-ebook/dp/B005F6A6IK/ref=sr_1_1?crid=2TR3WEV9D2BO1&keywords=beyond+katrina+trethewey&qid=1682008895&sprefix=beyond+katrina_trethewey%2Caps%2C428&sr=8-1,Natasha Trethewey,University of Georgia Press; 2nd edition,"August 1, 2015",144.0,,1.1,21138
One For The Murphys,https://www.amazon.com/One-Murphys-Lynda-Mullaly-Hunt/dp/0142426520/ref=sr_1_1?keywords=One+for+the+Murphys+by+Lynda+Mullaly+Hunt&qid=1697015195&sr=8-1,Lynda Mullaly Hunt,Nancy Paulsen Books; Reprint edition,"May 16, 2013",256.0,10,2.0,48400
So Yesterday,https://www.amazon.com/So-Yesterday-Scott-Westerfeld/dp/1595140328/ref=sr_1_1?keywords=So+Yesterday+by+Scott+Westerfeld&qid=1696974257&sr=8-1,Scott Westerfeld,Razorbill; Reprint edition,"Bargain Price, September 8, 2005",256.0,12,1.4,10951
Asian American Dreams,https://www.amazon.com/Asian-American-Dreams-Emergence-People/dp/0374527369/ref=sr_1_1?keywords=Asian+American+Dreams+by+Helen+Zia&qid=1697056769&sr=8-1,Helen Zia,FSG Adult; First Edition,"Illustrated, May 15, 2001",368.0,,3.3,52043
In The Presence Of My Enemies,https://www.amazon.com/Presence-My-Enemies-Gracia-Burnham/dp/0842381392/ref=sr_1_1?keywords=In+the+Presence+of+my+Enemies+by+Gracia+Burnham&qid=1697056077&sr=8-1,Gracia Burnham,Tyndale Momentum; Enlarged edition,"Illustrated, January 1, 2010",368.0,,4.4,42196
The Orchard Keeper,https://www.amazon.com/Orchard-Keeper-Cormac-McCarthy/dp/0679728724/ref=sr_1_1?crid=2WQRW6S6VLU7C&keywords=The+Orchard+Keeper_McCarthy&qid=1682308593&s=instant-video&sprefix=the+orchard+keeper_mccarthy%2Cinstant-video%2C450&sr=1-1,Cormac Mccarthy,Knopf Doubleday Publishing Group,"February 2, 1993",246.0,,2.6,91177
Saint Anything,https://www.amazon.com/Saint-Anything-Sarah-Dessen/dp/014751603X/ref=sr_1_1?keywords=Saint+Anything+by+Sarah+Dessen&qid=1697471713&sr=8-1,Sarah Dessen,Speak; Reprint edition,"May 31, 2016",448.0,12,1.7,75
When Smoke Ran Like Water: Tales Of Environmental Deception And The Battle Against Pollution,https://www.amazon.com/When-Smoke-Like-Water-Environmental/dp/0465015220/ref=sr_1_1?keywords=When+Smoke+Ran+Like+Water+by+Devra+Davis&qid=1697470874&sr=8-1,Devra Davis,Basic Books; Reprint edition,"December 25, 2003",353.0,,2.9,27772
"The Eye Of The World: Book One Of The Wheel Of Time (Wheel Of Time, 1)",https://www.amazon.com/Eye-World-Book-Wheel-Time/dp/1250768683/ref=sr_1_1?keywords=The+Eye+of+the+World+by+Robert+Jordan&qid=1697063035&sr=8-1,Robert Jordan,Tor Books; Media tie-in edition,"August 11, 2020",784.0,12,1.4,40338
Dope Sick,https://www.amazon.com/Dope-Sick-Walter-Dean-Myers/dp/0061214795/ref=sr_1_1?keywords=Dope+Sick+by+Walter+Dean+Myers&qid=1697056394&sr=8-1,Walter Dean Myers,Amistad Books for Young Readers; Reprint edition,"February 2, 2010",208.0,14,2.7,81642
The Bitter Season (Kovac And Liska Series),https://www.amazon.com/Bitter-Season-Kovac-Liska/dp/0451470079/ref=sr_1_1?keywords=The+Bitter+Season+by+Tami+Hoag&qid=1696961436&sr=8-1,Tami Hoag,Dutton; Reprint edition,"May 2, 2017",512.0,,2.2,88287
Memory Wall: Stories,https://www.amazon.com/Memory-Wall-Stories-Anthony-Doerr/dp/1439182841/ref=sr_1_1?keywords=Memory+Wall+by+Anthony+Doerr&qid=1697039195&sr=8-1,Anthony Doerr,Scribner,"July 5, 2011",304.0,,2.1,85642
'A New England Nun' And Other Stories,https://www.amazon.com/New-England-Nun-Other-Stories/dp/1537485385/ref=sr_1_2?keywords=A+New+England+Nun+and+Other+Stories+by+Mary+Eleanor+Wilkins+Freeman&qid=1697028985&sr=8-2,Mary Eleanor Wilkins Freeman,CreateSpace Independent Publishing Platform,"September 8, 2016",320.0,,3.6,89570
Coyote America,https://www.amazon.com/Coyote-America-Natural-Supernatural-History/dp/0465093728/ref=sr_1_1?keywords=Coyote+America+by+Dan+Flores&qid=1697010551&sr=8-1,Flores Dan,Basic Books; Reprint edition,"September 5, 2017",288.0,,4.7,73376
Warcross,https://www.amazon.com/Warcross-Marie-Lu/dp/0399547975/ref=sr_1_1?keywords=Warcross+by+Marie+Lu&qid=1696984598&sr=8-1,Marie Lu,Speak; Reprint edition,"June 26, 2018",416.0,12,3.2,27378
"Slavery At Sea: Terror, Sex, And Sickness In The Middle Passage (New Black Studies Series)",https://www.amazon.com/Slavery-Sea-Sickness-Passage-Studies/dp/0252082028/ref=sr_1_1?keywords=Slavery+at+Sea+by+Sowande+M.+Mustakeem&qid=1696987128&sr=8-1,Sowande M Mustakeem,University of Illinois Press; Illustrated edition,"September 30, 2016",296.0,,2.2,54373
The Other Side Of The Island,https://www.amazon.com/Other-Side-Island-Allegra-Goodman/dp/1595141960/ref=sr_1_1?keywords=The+Other+Side+of+the+Island+by+Allegra+Goodman&qid=1697063607&sr=8-1,Allegra Goodman,Razorbill,"May 14, 2009",288.0,12,2.5,38317
The Rock Of Tanios,https://www.amazon.com/Rock-Tanios-Amin-Maalouf/dp/0349106622/ref=sr_1_1?keywords=The+Rock+of+Tanios+by+Amin+Maalouf&qid=1697036662&sr=8-1,Amin Maalouf,Abacus Books,"January 1, 1995",288.0,,1.9,97335
Eye Of The Needle: A Novel,https://www.amazon.com/Eye-Needle-Novel-Ken-Follett/dp/0143132040/ref=sr_1_1?keywords=Eye+of+the+Needle+by+Ken+Follett&qid=1697040332&sr=8-1,Ken Follett,Penguin Books; Reprint edition,"October 17, 2017",352.0,,1.1,73481
"Of Poseidon (The Syrena Legacy, 1)",https://www.amazon.com/Poseidon-Syrena-Legacy-Anna-Banks/dp/1250027365/ref=sr_1_1?keywords=Of+Poseidon+by+Anna+Banks&qid=1696978319&sr=8-1,Anna Banks,Square Fish; Reprint edition,"April 30, 2013",384.0,13,2.1,28998
We Are The Ants,https://www.amazon.com/Are-Ants-Shaun-David-Hutchinson/dp/1481449648/ref=sr_1_1?keywords=We+Are+the+Ants+by+Shaun+David+Hutchinson&qid=1697003142&sr=8-1,Shaun David Hutchinson,S&S Books for Young Readers; Reprint edition,"May 16, 2017",480.0,14,1.3,51577
The Revenge Of Geography: What The Map Tells Us About Coming Conflicts And The Battle Against Fate,https://www.amazon.com/Revenge-Geography-Coming-Conflicts-Against/dp/0812982223/ref=sr_1_1?keywords=The+Revenge+of+Geography+by+Robert+D.+Kaplan&qid=1696977247&sr=8-1,Robert D. Kaplan,Random House Trade Paperbacks; Reprint edition,"September 10, 2013",448.0,,4.8,52410
"Magnus Chase And The Gods Of Asgard Book 1: Sword Of Summer, The-Magnus Chase And The Gods Of Asgard Book 1",https://www.amazon.com/Magnus-Chase-Asgard-Sword-Summer/dp/1423163370/ref=sr_1_1?keywords=The+Sword+of+Summer+by+Rick+Riordan&qid=1697005727&sr=8-1,Rick Riordan,Disney Hyperion; Reprint edition,"April 4, 2017",544.0,10,2.5,24866
The Empathy Exams: Essays,https://www.amazon.com/Empathy-Exams-Essays-Leslie-Jamison/dp/1555976719/ref=sr_1_1?keywords=The+Empathy+Exams+by+Leslie+Jamison&qid=1696979248&sr=8-1,Leslie Jamison,Graywolf Press; 1st edition,"April 1, 2014",256.0,,2.7,76633
A Serious Proposal To The Ladies The Annotated Edition,https://www.amazon.com/serious-proposal-ladies-annotated/dp/B08FP3SQK2/ref=sr_1_2?keywords=A+Serious+Proposal+To+The+Ladies+by+Mary+Astell&qid=1697057346&sr=8-2,Mary Astell,Independently published,"August 13, 2020",231.0,,4.9,38663
The Dying Sun,https://www.amazon.com/Dying-Sun-Gary-L-Blackwood/dp/0689314825/ref=sr_1_1?crid=3N4JXMEIDW4HX&keywords=The+Dying+Sun+Gary+L.+Blackwood&qid=1666729075&sprefix=the+dying+sun+gary+l.+blackwood%2Caps%2C542&sr=8-1,Gary L. Blackwood,Atheneum,"January 1, 1989",,11,3.9,17750
Why We Sleep: Unlocking The Power Of Sleep And Dreams,https://www.amazon.com/Why-We-Sleep-Unlocking-Dreams/dp/1501144324/ref=sr_1_1?keywords=Why+We+Sleep+by+Matthew+Walker&qid=1697041237&sr=8-1,Matthew Walker,Scribner; Reprint edition,"Illustrated, June 19, 2018",368.0,,4.2,75114
Unselfie: Why Empathetic Kids Succeed In Our All-About-Me World,https://www.amazon.com/UnSelfie-Empathetic-Succeed-All-About-Me-World/dp/1501110071/ref=sr_1_1?keywords=UnSelfie+by+Michele+Borba&qid=1697033943&sr=8-1,Michele Borba Dr.,Touchstone; Reprint edition,"May 23, 2017",304.0,,1.5,46609
The Three Little Javelinas,https://www.amazon.com/Little-Javelinas-Lowell-Illustrated-Harris/dp/0590481703/ref=sr_1_1?keywords=The+Three+Little+Javelinas+by+Susan+Lowell&qid=1697020141&sr=8-1,Susan Lowell Illustrated By Jim Harris,Scholastic,"January 1, 1992",0.0,3,1.3,51357
"Divided We Fall (Divided We Fall, Book 1)",https://www.amazon.com/Divided-We-Fall-Trent-Reedy-audiobook/dp/B00KBAMBY2/ref=sr_1_1?crid=23PIX6Q8UZ4P1&keywords=Divided+We+Fall_Reedy&qid=1682518362&sprefix=divided+we+fall_reedy%2Caps%2C531&sr=8-1,Trent Reedy,Arthur A. Levine Books; Reprint edition,"December 30, 2014",384.0,14,2.2,45768
Memoirs Of A Teenage Amnesiac: A Novel,https://www.amazon.com/Memoirs-Teenage-Amnesiac-Gabrielle-Zevin/dp/0312561288/ref=sr_1_1?keywords=Memoirs+of+a+Teenage+Amnesiac+by+Gabrielle+Zevin&qid=1697016374&sr=8-1,Gabrielle Zevin,Square Fish; First Edition,"June 23, 2009",304.0,14,1.1,36616
The Sea Captain'S Wife: A Novel,https://www.amazon.com/Sea-Captains-Wife-Novel/dp/0452296951/ref=sr_1_1?keywords=The+Sea+Captain%27s+Wife+by+Beth+Powning&qid=1696975883&sr=8-1,Beth Powning,Plume; Reprint edition,"February 22, 2011",384.0,,2.7,81466
"Van Alen Legacy, The (Blue Bloods)",https://www.amazon.com/Alen-Legacy-Blue-Bloods-Novel/dp/1368094171/ref=sr_1_1?keywords=The+Van+Alen+Legacy+by+Melissa+de+la+Cruz&qid=1696972821&sr=8-1,Melissa De La Cruz,Disney Hyperion,"May 2, 2023",400.0,12,1.2,27754
The Sacred Lies Of Minnow Bly,https://www.amazon.com/Sacred-Lies-Minnow-Bly/dp/0147510163/ref=sr_1_1?keywords=The+Sacred+Lies+of+Minnow+Bly&qid=1680196190&s=books&sr=1-1,Stephanie Oakes,Speak; Reprint edition,"November 1, 2016",416.0,14,4.7,10376
Boot Camp,https://www.amazon.com/Boot-Camp-Todd-Strasser/dp/1442433582/ref=sr_1_1?keywords=Boot+Camp+by+Todd+Strasser&qid=1696988443&sr=8-1,Todd Strasser,S&S Books for Young Readers; Reprint edition,"March 6, 2012",272.0,12,2.4,41510
The Dante Club: A Novel,https://www.amazon.com/Dante-Club-Novel-Matthew-Pearl/dp/034549038X/ref=sr_1_1?keywords=The+Dante+Club+by+Matthew+Pearl&qid=1696999086&sr=8-1,Matthew Pearl,Random House Trade Paperbacks; Reprint edition,"February 10, 2004",400.0,,1.4,70175
Guts: A Graphic Novel,https://www.amazon.com/Guts-Raina-Telgemeier/dp/0545852501/ref=sr_1_1?keywords=Guts+by+Raina+Telgemeier&qid=1697057923&sr=8-1,Raina Telgemeier,Graphix; Illustrated edition,"September 17, 2019",224.0,9,3.0,30471
Bridget Jones'S Diary,https://www.amazon.com/Bridget-Joness-Diary-Helen-Fielding/dp/1447288939/ref=tmm_pap_swatch_0?_encoding=UTF8&qid=1681079991&sr=1-1,Helen Fielding,Picador; New edition,"November 16, 2014",310.0,,3.8,56079
Navigating Early,https://www.amazon.com/Navigating-Early-Clare-Vanderpool/dp/0307930653/ref=sr_1_1?keywords=Navigating+Early+by+Clare+Vanderpool&qid=1697032650&sr=8-1,Clare Vanderpool,Yearling; Reissue edition,"December 23, 2014",336.0,10,2.7,27572
Lifeboat,https://www.amazon.com/Lifeboat-Novel-Charlotte-Rogan/dp/0316185914/ref=sr_1_1?keywords=The+Lifeboat+by+Charlotte+Rogan&qid=1697058112&sr=8-1,Charlotte Rogan,Reagan Arthur / Back Bay Books,"January 8, 2013",278.0,,4.9,59708
Children Of Gebelawi,https://www.amazon.com/Children-Gebelawi-Naguib-Mahfouz/dp/0894106546/ref=sr_1_4?keywords=Children+of+Gebelawi+by+Naguib+Mahfouz&qid=1697021537&sr=8-4,Naguib Mahfouz,Three Continents Press,"January 1, 1988",355.0,,4.5,93188
Death In The Andes: A Novel,https://www.amazon.com/Death-Andes-Mario-Vargas-Llosa/dp/0312427255/ref=sr_1_1?keywords=Death+In+The+Andes+by+Mario+Vargas+Llosa&qid=1696983534&sr=8-1,Mario Vargas Llosa,Picador; First Edition,"October 2, 2007",276.0,,1.6,96934
"The People Vs. Alex Cross (Alex Cross, 23)",https://www.amazon.com/People-vs-Alex-Cross/dp/1538745518/ref=sr_1_17?keywords=Alex+Cross+by+James+Patterson&qid=1697025398&sr=8-17,James Patterson,Grand Central Publishing; Reprint edition,"April 10, 2018",448.0,,4.5,39860
House Of Stairs,https://www.amazon.com/House-Stairs-William-Sleator/dp/0140345809/ref=sr_1_1?keywords=House+of+Stairs+by+William+Sleator&qid=1696987440&sr=8-1,William Sleator,E. P. Dutton & Co. Inc; Second Printing edition,"January 1, 1974",0.0,,3.0,29580
Modern Girl: Mein Leben Mit Sleater-Kinney,https://www.amazon.com/Modern-Girl-W-B-TRITES/dp/3710900050/ref=sr_1_4?keywords=Hunger+Makes+Me+a+Modern+Girl+by+Carrie+Brownstein&qid=1697032252&sr=8-4,Carrie Brownstein,Benevento,"October 8, 2016",328.0,,3.3,80012
The Vanishing Act Of Esme Lennox: A Novel,https://www.amazon.com/Vanishing-Act-Esme-Lennox/dp/0156033674/ref=sr_1_1?keywords=The+Vanishing+Act+of+Esme+Lennox+by+Maggie+O%27Farrell&qid=1696998469&sr=8-1,Maggie O'Farrell,Mariner Books; First Edition,"June 2, 2008",256.0,,1.1,3890
Tell Me Your Dreams,https://www.amazon.com/Tell-Your-Dreams-Sidney-Sheldon/dp/8172234902/ref=sr_1_1?keywords=Tell+Me+Your+Dreams+by+Sidney+Sheldon&qid=1697002791&sr=8-1,Sidney Sheldon,HarperCollins India,"January 1, 1998",,,1.8,97470
Prodigy,https://www.amazon.com/Prodigy-Marie-Lu/dp/0142427551/ref=sr_1_1?keywords=Prodigy+by+Marie+Lu&qid=1697001237&sr=8-1,Marie Lu,Speak; Reprint edition,"January 1, 2014",416.0,12,1.4,71571
Native Son,https://www.amazon.com/Native-Son-Richard-Wright-1900-01-01/dp/B01JXRGGEO/ref=sr_1_1?keywords=Native+Son+by+Richard+Wright&qid=1696998995&sr=8-1,Richard Wright,Harper Perennial Modern Classics; 1st edition,"Deckle Edge, April 29, 2008",544.0,,3.7,92444
"Trace: Memory, History, Race, And The American Landscape",https://www.amazon.com/Trace-Memory-History-American-Landscape/dp/1619028255/ref=sr_1_1?crid=3Q8GITZAMSOIX&keywords=Trace_Savoy&qid=1683024919&s=instant-video&sprefix=trace_savoy%2Cinstant-video%2C248&sr=1-1,Lauret Savoy,Counterpoint; First Trade Paper edition,"September 13, 2016",240.0,,3.1,14513
Brother To A Dragonfly (Banner Books),https://www.amazon.com/Brother-Dragonfly-Banner-Books-Campbell/dp/1496816307/ref=sr_1_1?keywords=Brother+to+a+Dragonfly+by+Will+D.+Campbell&qid=1697471580&sr=8-1,"Will D. Campbell, Jimmy Carter",University Press of Mississippi; Reprint edition,"March 16, 2018",288.0,,2.7,29348
The Wreckers (The High Seas Trilogy),https://www.amazon.com/Wreckers-High-Seas-Trilogy/dp/0440415454/ref=sr_1_1?keywords=The+Wreckers+by+Iain+Lawrence&qid=1696961120&sr=8-1,Iain Lawrence,Yearling; First Edition Thus,"November 9, 1999",224.0,10,2.5,90135
Letters From Rifka,https://www.amazon.com/Letters-Rifka-Karen-Hesse/dp/0312535619/ref=sr_1_1?keywords=Letters+from+Rifka+by+Karen+Hesse&qid=1697027480&sr=8-1,Karen Hesse,Square Fish; First Edition,"January 6, 2009",176.0,9,3.5,87152
The Wordy Shipmates,https://www.amazon.com/The-Wordy-Shipmates-Sarah-Vowell-audiobook/dp/B001HTCF8S/ref=sr_1_1?crid=C8NCO3FRMN7G&keywords=The+Wordy+Shipmates_Vowell&qid=1681830699&s=instant-video&sprefix=the+wordy+shipmates_vowell%2Cinstant-video%2C474&sr=1-1,Sarah Vowell,Riverhead Books; Illustrated edition,"October 6, 2009",272.0,,1.8,55830
The Young Lions,https://www.amazon.com/Young-Lions-Irwin-Shaw/dp/0451014960/ref=sr_1_1?keywords=The+Young+Lions+by+Irwin+Shaw&qid=1697007004&sr=8-1,Irwin Shaw,University of Chicago Press; New edition,"December 1, 2000",696.0,,1.3,69252
A Painted House: A Novel,https://www.amazon.com/Painted-House-Novel-John-Grisham/dp/034553204X/ref=sr_1_1?keywords=A+Painted+House+by+John+Grisham&qid=1696963858&sr=8-1,John Grisham,Anchor; Reprint edition,"February 3, 2004",384.0,,1.1,94974
The Autobiography Of Benjamin Franklin: A Benjamin Franklin Autobiography Classics (The Original 1791 Edition),https://www.amazon.com/Autobiography-Benjamin-Franklin-Classics-Original/dp/B09SXJVXX8/ref=sr_1_9?keywords=Autobiography+of+Benjamin+Franklin+by+Benjamin+Franklin&qid=1697035555&sr=8-9,Benjamin Franklin,Independently published,"February 19, 2022",135.0,,4.6,54297
The Ginger Man,https://www.amazon.com/Ginger-Man-60th-Anniversary-Limited/dp/1843516462/ref=tmm_hrd_swatch_0?_encoding=UTF8&qid=1688137062&sr=1-1,J. P. Donleavy,Grove Press,"July 13, 2010",368.0,,1.8,27471
The Last Kids On Earth: Thrilling Tales From The Tree House: Full-Colour Graphic Novel From The Bestselling Last Kids Series And Award-Winning Netflix Show,https://www.amazon.com/Last-Kids-Earth-Thrilling-Tales/dp/0593350065/ref=sr_1_9?keywords=The+Last+Kids+on+Earth+by+Max+Brallier&qid=1697035456&sr=8-9,Max Brallier,Farshore,"July 7, 2021",208.0,9,2.4,95431
Foucault'S Pendulum,https://www.amazon.com/Foucaults-Pendulum-Umberto-Eco/dp/015603297X/ref=sr_1_1?keywords=Foucault%27s+Pendulum+by+Umberto+Eco&qid=1696975902&sr=8-1,Umberto Eco,Mariner Books; First Edition,"March 5, 2007",640.0,,1.1,47109
A Week On The Concord And Merrimack Rivers (Penguin Classics),https://www.amazon.com/Concord-Merrimack-Rivers-Penguin-Classics/dp/0140434429/ref=sr_1_2?keywords=A+Week+on+the+Concord+and+Merrimack+Rivers+by+Henry+David+Thoreau&qid=1697056423&sr=8-2,Henry David Thoreau,Penguin Classics; Reprint edition,"December 1, 1998",368.0,18,3.3,4010
The Book Of Chameleons: A Novel,https://www.amazon.com/Book-Chameleons-Jose-Eduardo-Agualusa/dp/1416573518/ref=sr_1_1?keywords=The+Book+of+Chameleons+by+Jose+Eduardo+Agualusa&qid=1697045015&sr=8-1,Jose Eduardo Eduardo Agualusa,Simon & Schuster; 0 edition,"June 17, 2008",180.0,,4.2,3284
The Indian In The Cupboard,https://www.amazon.com/Indian-Cupboard-Lynne-Reid-Banks/dp/0375847537/ref=sr_1_1?keywords=The+Indian+in+the+Cupboard+by+Lynne+Reid+Banks&qid=1697018857&sr=8-1,Lynne Reid Banks,Yearling; Reissue edition,"Illustrated, February 9, 2010",240.0,8,1.9,26225
"Listen, Slowly",https://www.amazon.com/Listen-Slowly-Thanhha-Lai/dp/0062229192/ref=sr_1_1?keywords=Listen%2C+Slowly+by+Thanhha+Lai&qid=1696978000&sr=8-1,Thanhhà Lai,HarperCollins; Reprint edition,"May 17, 2016",288.0,9,1.1,66261
Anne Frank Remembered: The Story Of The Woman Who Helped To Hide The Frank Family,https://www.amazon.com/Anne-Frank-Remembered-Helped-Family/dp/1416598855/ref=sr_1_1?crid=175J3TEHZA5R3&keywords=Anne+Frank+Remembered+Miep+Gies&qid=1673454148&s=books&sprefix=anne+frank+remembered+miep+gies%2Cstripbooks-intl-ship%2C1721&sr=1-1,Miep Gies,Simon & Schuster; Reprint edition,"Illustrated, February 10, 2009",296.0,,1.8,61200
When Work Disappears : The World Of The New Urban Poor,https://www.amazon.com/When-Work-Disappears-World-Urban/dp/0679724176/ref=sr_1_1?keywords=When+Work+Disappears+by+William+Julius+Wilson&qid=1696998271&sr=8-1,William Julius Wilson,Vintage; First Edition,"July 29, 1997",322.0,,2.6,24142
"Finding Zoe: A Deaf Woman'S Story Of Identity, Love, And Adoption",https://www.amazon.com/Finding-Zoe-Womans-Identity-Adoption/dp/195066578X/ref=sr_1_1?keywords=Finding+Zoe+by+Brandi+Rarus&qid=1697470980&sr=8-1,"Brandi Rarus, Gail Harris",BenBella Books,"September 1, 2020",288.0,,2.4,72186
Jeremy Fink And The Meaning Of Life,https://www.amazon.com/Jeremy-Fink-Meaning-Life-Wendy/dp/0316058491/ref=sr_1_1?keywords=Jeremy+Fink+and+the+Meaning+of+Life+by+Wendy+Mass&qid=1696960409&sr=8-1,Wendy Mass,"Little, Brown Books for Young Readers; Reprint edition","February 1, 2008",304.0,10,4.6,77709
A Piece Of Steak,https://www.amazon.com/Piece-Steak-Jack-London/dp/1535005793/ref=sr_1_1?keywords=A+Piece+of+Steak+by+Jack+London&qid=1697063861&sr=8-1,Jack London,CreateSpace Independent Publishing Platform,"June 29, 2016",46.0,,4.5,85449
When She Woke: A Novel,https://www.amazon.com/When-She-Woke-Hillary-Jordan/dp/1616201932/ref=sr_1_1?keywords=when+she+woke+by+hilary+jordan&qid=1697024672&sr=8-1,Hillary Jordan,Algonquin Books; Reprint edition,"September 18, 2012",368.0,,3.8,49286
Transatlantic: A Novel,https://www.amazon.com/TransAtlantic-Novel-Colum-McCann/dp/0812981928/ref=sr_1_1?crid=146TJXJ9C1029&keywords=TransAtlantic+Colum+McCann&qid=1685260191&s=books&sprefix=transatlantic+colum+mccann%2Cstripbooks-intl-ship%2C1390&sr=1-1,Colum Mccann,Random House Trade Paperbacks; Reprint edition,"May 20, 2014",336.0,,2.7,50013
Rattlebone,https://www.amazon.com/Rattlebone-Maxine-Clair/dp/1946022462/ref=sr_1_1?keywords=Rattlebone+by+Maxine+Clair&qid=1696961886&sr=8-1,Maxine Clair,McNally Editions,"June 28, 2022",208.0,,1.8,73984
"The Princess Diaries Volume Iii: Princess In Love (Princess Diaries, 3)",https://www.amazon.com/Princess-Love-Diaries-Vol/dp/0064472809/ref=sr_1_1?keywords=Princess+in+Love+by+Meg+Cabot&qid=1697473021&sr=8-1,Meg Cabot,HarperCollins; Standard Edition,"October 27, 2020",288.0,8,2.7,43515
The Other Slavery: The Uncovered Story Of Indian Enslavement In America,https://www.amazon.com/Other-Slavery-Uncovered-Enslavement-America/dp/054494710X/ref=sr_1_1?keywords=The+Other+Slavery+by+Andr%C3%A9s+Res%C3%A9ndez&qid=1696990026&sr=8-1,Andrés Reséndez,Mariner Books; Reprint edition,"April 18, 2017",448.0,,3.1,42843
